S,a,z,t_rel,H,C,T,N,Phi_ten
0.47000000000000003,0.5782947328760406,0.7292220439682844,-0.5484972693939165,113.73141061398853,1.687409653026536,1.0011108996538243,1.0513617852484678,0.05008626220325241
0.48000000000000004,0.5879423347844046,0.7008470743422393,-0.5377237705135123,111.51475460050962,1.6545215816099348,1.0135335283236613,1.062964231506299,0.061061450163672815
0.49,0.597150164329237,0.674620656134749,-0.5259220392634247,104.73784968075722,1.5539740308717687,1.0606530659712632,1.112685347237509,0.106776325439745
0.5,0.6052663525539643,0.6521651926964533,-0.513208654155723,90.99000000000001,1.35,1.1,1.155762282518339,0.144760111143887
0.51,0.6122427615106,0.6333390329232771,-0.5014385799336449,77.2421503192428,1.1460259691282313,1.0606530659712632,1.109700674018227,0.10409031591198324
0.52,0.6186772041968739,0.6163517795974629,-0.49072282722485466,70.46524539949037,1.0454784183900647,1.0135335283236613,1.0572667217545004,0.0556870135182631
0.53,0.6249736948736612,0.6000673439578135,-0.48028210313683,68.24858938601149,1.012590346973464,1.0011108996538243,1.0429138361828805,0.04201856108442878
0.54,0.631276016450145,0.5840931287446987,-0.46987643321603256,67.62668824121619,1.0033633270210116,1.0000335462627903,1.0405320861169425,0.03973220358603503
0.55,0.6376261188986284,0.5683171851982789,-0.4594836543725047,67.45996654729218,1.0008897113841568,1.0000003726653173,1.0392774970501082,0.038525757352532865
0.56,0.6440358797716289,0.5527085235601994,-0.449102709689313,67.41582181915541,1.0002347450913265,1.000000001522998,1.0380944667381564,0.03738678902094451
0.5700000000000001,0.6505089505936389,0.5372578641499459,-0.4387332290919935,67.4041716164415,1.0000618934190133,1.0000000000022897,1.0369480597295722,0.036281840943399146
0.5800000000000001,0.6570467814405334,0.5219616445081177,-0.4283748616304272,67.40109969775895,1.000016315990489,1.0000000000000013,1.03583674615663,0.0352095504902183
0.59,0.6636502399192056,0.506817808310809,-0.4180272674743219,67.40028988215774,1.0000043009222215,1.0,1.034759415610541,0.03416895101148181
0.6,0.6703200433153668,0.49182470369534825,-0.4076901175112448,67.4000764124529,1.0000011337159185,1.0,1.0337149963077112,0.033159105895130304
0.61,0.6770568737739011,0.4769807954626035,-0.39736309298957684,67.40002014212793,1.000000298844628,1.0,1.0327024521667927,0.032179106212391215
0.62,0.6838614090195225,0.4622845898465555,-0.3870458851744927,67.40000530940895,1.0000000787746135,1.0,1.0317207815084135,0.031228069897398104
0.63,0.6907343305860126,0.447734614770934,-0.3767381950163875,67.40000139954512,1.0000000207647644,1.0,1.030769015810516,0.030305140953270606
0.64,0.6976763260573606,0.4333294145884252,-0.36643973283124315,67.4000003689161,1.0000000054735325,1.0,1.0298462185144348,0.02940948868165944
0.65,0.7046880897150729,0.41906754860058837,-0.3561502179924498,67.40000009724524,1.0000000014428077,1.0,1.028951483879335,0.028540306935061807
0.66,0.7117703227616397,0.40494759056550866,-0.345869378633622,67.40000002563357,1.00000000038032,1.0,1.0280839358827751,0.027696813391234244
0.67,0.7189237334316672,0.3909681284642814,-0.33559695136196943,67.40000000675695,1.0000000001002514,1.0,1.0272427271652573,0.026878248849049782
0.68,0.7261490370736212,0.3771277643360893,-0.32533268098180185,67.40000000178112,1.000000000026426,1.0,1.0264270380167584,0.026083876545165696
0.6900000000000001,0.7334469562242699,0.3634251141322138,-0.31507632022776855,67.4000000004695,1.0000000000069658,1.0,1.0256360754033276,0.025312981490886732
0.7000000000000001,0.7408182206817119,0.34985880757601406,-0.3048276295074491,67.40000000012375,1.000000000001836,1.0,1.0248690720319402,0.024564869828627083
0.7100000000000001,0.7482635675785628,0.3364274880254763,-0.2945863766529302,67.40000000003263,1.000000000000484,1.0,1.0241252854518919,0.023838868207391666
0.72,0.7557837414557239,0.32312981233743976,-0.2843523366810193,67.40000000000862,1.0000000000001277,1.0,1.0234039971911024,0.02313432317671478
0.73,0.7633794943368519,0.3099644507332495,-0.27412529156176146,67.40000000000228,1.0000000000000338,1.0,1.0227045119257823,0.022450600598510596
0.74,0.771051585803565,0.2969300866657738,-0.2639050299949415,67.4000000000006,1.0000000000000089,1.0,1.0220261566819953,0.021787085076306067
0.75,0.7788007830714037,0.2840254166877434,-0.2536913471942643,67.40000000000016,1.0000000000000022,1.0,1.0213682800677197,0.021143179401342582
0.76,0.7866278610665522,0.2712491503214065,-0.24348404467892343,67.40000000000005,1.0000000000000007,1.0,1.0207302515340873,0.020518304015047728
0.77,0.7945336025033329,0.2586000099294796,-0.23328293007227807,67.40000000000002,1.0000000000000002,1.0,1.0201114606645354,0.019911896487393492
0.78,0.8025187979624775,0.24607673058738233,-0.22308781690737126,67.4,1.0,1.0,1.0195113164906815,0.01932341101067124
0.79,0.8105842459701862,0.23367805995674473,-0.2128985244390335,67.4,1.0,1.0,1.018929246833774,0.01875231790822797
0.8,0.8187307530779809,0.2214027581601712,-0.20271487746232708,67.4,1.0,1.0,1.0183646976706433,0.018198103157721534
0.81,0.8269591339433614,0.20924959765725282,-0.1925367061370959,67.4,1.0,1.0,1.0178171325231185,0.01766026792846587
0.8200000000000001,0.8352702114112711,0.19721736312181148,-0.1823638458183966,67.4,1.0,1.0,1.0172860318699277,0.017138328132449664
0.8300000000000001,0.8436648165963828,0.18530485132036678,-0.17219613689259508,67.4,1.0,1.0,1.0167708925801515,0.016631813988624525
0.8400000000000001,0.8521437889662105,0.1735108709918114,-0.16203342461892173,67.4,1.0,1.0,1.0162712273673349,0.016140269600070267
0.85,0.8607079764250569,0.1618342427282844,-0.1518755589762877,67.4,1.0,1.0,1.0157865642634123,0.015663252543656966
0.86,0.869358235398805,0.15027379885722847,-0.14172239451517132,67.4,1.0,1.0,1.0153164461116382,0.015200333471834207
0.87,0.8780954309205605,0.13882838332462288,-0.13157379021439383,67.4,1.0,1.0,1.0148604300777475,0.01475109572618939
0.88,0.8869204367171568,0.12749685157937662,-0.12142960934260763,67.4,1.0,1.0,1.0144180871786188,0.014315134962426986
0.89,0.8958341352965276,0.11627807045887217,-0.11128971932433032,67.4,1.0,1.0,1.0139890018277293,0.013892058786431362
0.9,0.904837418035959,0.10517091807564838,-0.1011539916103629,67.4,1.0,1.0,1.0135727713967422,0.013481486401085622
0.91,0.9139311852712276,0.09417428370521108,-0.09102230155243711,67.4,1.0,1.0,1.0131690057925773,0.013083048263528489
0.92,0.9231163463866353,0.08328706767495908,-0.08089452828194345,67.4,1.0,1.0,1.0127773270493658,0.012696385752540791
0.93,0.9323938199059478,0.07250818125421699,-0.07077055459259649,67.4,1.0,1.0,1.012397368934695,0.012321150845762128
0.9400000000000001,0.9417645335842484,0.06183654654536008,-0.060650266826900515,67.4,1.0,1.0,1.0120287765695957,0.011957005806447277
0.9500000000000001,0.9512294245007138,0.05127109637602434,-0.05053355476628316,67.4,1.0,1.0,1.011671206061734,0.011603622879480337
0.9600000000000001,0.9607894391523231,0.04081077419238843,-0.04042031152477013,67.4,1.0,1.0,1.0113243241513026,0.011260683996372974
0.97,0.9704455335485079,0.03045453395351716,-0.030310433446079036,67.4,1.0,1.0,1.0109878078691201,0.01092788048898132
0.98,0.9801986733067551,0.020201340026756,-0.02020382000401423,67.4,1.0,1.0,1.0106613442064796,0.010604912811683812
0.99,0.990049833749168,0.010050167084168171,-0.010100373706051264,67.4,1.0,1.0,1.0103446297962957,0.010291490271769904
1.0,1.0,0.0,0.0,67.4,1.0,1.0,1.0100373706051256,0.009987330767797028
